"Stotelės Nr.","Pavadinimas","Lng","Lat"
"2637","Salininkų sodai","25.28348","54.61803"
"2638","Sakalaičių st.","25.27557","54.61463"
"2639","Meistrų st.","25.25945","54.63085"
"2640","Čigonų st.","25.26474","54.63078"
"2641","Paštas","25.27655","54.63581"
"2644","Rodūnios kelias","25.27771","54.64185"
"2645","Rodūnios kelias","25.27789","54.64168"
"2646","Pupinė","25.29469","54.62137"
"2647","Pupinė","25.29581","54.62153"
"2648","Rodūnios sodų st.","25.27778","54.63249"
"2649","Paštas","25.27704","54.63595"
"2650","Elektros st.","25.25639","54.63374"
"2651","Meistrų st.","25.25939","54.63073"
"2652","Katilinė","25.26621","54.63488"
"2653","Čigonų st.","25.26495","54.63079"
"2701","Užusienis","25.23943","54.63298"
"2702","Eišiškių sodai","25.24954","54.6274"
"2703","Eišiškių sodai","25.24947","54.62625"
"2704","Ąžuolijai","25.24387","54.62186"
"2705","Ąžuolijai","25.24455","54.62026"
"2706","Salininkų žiedas","25.25197","54.61419"
"2707","Salininkų žiedas","25.25182","54.61403"
"2708","Mechanikų st.","25.25171","54.60968"
"2709","Mechanikų st.","25.25147","54.6097"
"2710","Salininkai","25.25036","54.60609"
"2711","Salininkai","25.25161","54.60566"
"2712","Melioratorių st.","25.25838","54.60525"
"2713","Melioratorių st.","25.26033","54.60512"
"2714","Vilniaus st.","25.26949","54.60566"
"2715","Pervaža","25.27456","54.60948"
